Project Name;Flink
Project Source Path;./Flink/Flink_1.0.0/flink-core/src/main/java
Number of Units;488
Number of Exceptions;13
Lines of Code;49326.0
Catch Block Lines of Code;373.0
Overall Number of Rules;16
Overall Number of Passing Rules;14
Number of Anti-Drift Rules;16
Number of Anit-Drift Passing Rules;14
Number of Anti-Erosion Rules;0
Number of Anti-Erosion Passing Rules;0
