Rule Id;Violation Kind;Violating Unit;Violation Label;First Unit;Second Unit
ADR15;DRIFT;org.apache.flink.types.ByteValue;NoA > 15;none;none
ADR15;DRIFT;org.apache.flink.api.common.typeinfo.TypeHint;NoA > 15;none;none
ADR15;DRIFT;org.apache.flink.api.common.functions.RichJoinFunction;NoA > 15;none;none
ADR15;DRIFT;org.apache.flink.core.memory.DataOutputViewStreamWrapper;NoA > 15;none;none
ADR15;DRIFT;org.apache.flink.api.java.typeutils.runtime.EitherSerializer;NoA > 15;none;none
ADR15;DRIFT;org.apache.flink.api.common.typeutils.base.DateComparator;NoA > 15;none;none
ADR15;DRIFT;org.apache.flink.api.java.tuple.builder.Tuple0Builder;NoA > 15;none;none
ADR15;DRIFT;org.apache.flink.api.common.operators.base.CrossOperatorBase;NoA > 15;none;none
ADR15;DRIFT;org.apache.flink.util.SimpleStringUtils$WhitespaceTokenizer;NoA > 15;none;none
ADR15;DRIFT;org.apache.flink.api.common.typeutils.base.LongValueSerializer;NoA > 15;none;none
ADR15;DRIFT;org.apache.flink.types.parser.ByteParser;NoA > 15;none;none
ADR15;DRIFT;org.apache.flink.core.memory.MemoryUtils;NoA > 15;none;none
ADR15;DRIFT;org.apache.flink.types.parser.ShortParser;NoA > 15;none;none
ADR15;DRIFT;org.apache.flink.api.common.operators.Keys$SelectorFunctionKeys;NoA > 15;none;none
ADR15;DRIFT;org.apache.flink.api.common.typeutils.base.array.StringArraySerializer;NoA > 15;none;none
ADR15;DRIFT;org.apache.flink.types.parser.StringParser;NoA > 15;none;none
ADR15;DRIFT;org.apache.flink.api.common.operators.SingleInputOperator;NoA > 15;none;none
ADR15;DRIFT;org.apache.flink.api.common.io.InputStreamFSInputWrapper;NoA > 15;none;none
ADR15;DRIFT;org.apache.flink.api.java.typeutils.runtime.CopyableValueSerializer;NoA > 15;none;none
ADR15;DRIFT;org.apache.flink.api.common.typeutils.GenericPairComparator;NoA > 15;none;none
ADR15;DRIFT;org.apache.flink.types.parser.StringValueParser;NoA > 15;none;none
ADR15;DRIFT;org.apache.flink.api.common.operators.base.CoGroupOperatorBase;NoA > 15;none;none
ADR15;DRIFT;org.apache.flink.api.common.operators.base.MapPartitionOperatorBase;NoA > 15;none;none
ADR15;DRIFT;org.apache.flink.api.common.typeutils.base.DoubleComparator;NoA > 15;none;none
ADR15;DRIFT;org.apache.flink.api.java.tuple.builder.Tuple25Builder;NoA > 15;none;none
ADR15;DRIFT;org.apache.flink.types.Either;NoA > 15;none;none
