Unit;ADR13;ADR15;ADR16;Ocurrences;Class DeF
org.apache.flink.api.common.io.FileOutputFormat;1.0;1.0;0.0;2.0;0.6666666666666666
org.apache.flink.api.common.io.FilePathFilter;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.io.FilePathFilter$DefaultFilter;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.io.GenericCsvInputFormat;1.0;0.0;0.0;1.0;0.3333333333333333
org.apache.flink.api.common.io.GenericInputFormat;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.io.GlobFilePathFilter;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.io.InputStreamFSInputWrapper;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.io.LocatableInputSplitAssigner;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.io.LocatableInputSplitAssigner$LocatableInputSplitChooser;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.io.LocatableInputSplitAssigner$LocatableInputSplitWithCount;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.io.ParseException;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.io.ReplicatingInputFormat;1.0;1.0;0.0;2.0;0.6666666666666666
org.apache.flink.api.common.io.ReplicatingInputSplitAssigner;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.io.RichInputFormat;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.io.RichOutputFormat;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.io.SerializedInputFormat;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.io.SerializedOutputFormat;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.io.compression.Bzip2InputStreamFactory;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.io.compression.DeflateInflaterInputStreamFactory;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.io.compression.GzipInflaterInputStreamFactory;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.io.compression.XZInputStreamFactory;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.operators.AbstractUdfOperator;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.operators.CollectionExecutor;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.operators.CollectionExecutor$CompletedFuture;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.operators.CollectionExecutor$DynamicPathCollector;1.0;1.0;1.0;3.0;1.0
